Source,Target
Oberon,Male
Titania,Female
Don John,Male
Orsino,Male
Biron,Male
Boyet,Male
Boyet,Male
Touchstone,Male
Petrucio,Male
AC_Antony,Male
Othello,Male
Juliet,Female
Princess,Female
Perdita,Female
Troilus,Male
Guiderius,Male
Titus,Male
Perdita,Female
Perdita,Female
Marina,Female
Longueville,Male
Ophelia,Female
Ophelia,Female
Perdita,Female
Mercutio,Male
Romeo,Male
Perdita,Female
Polixenes,Male
Beatrice,Female
Margaret,Female
Oberon,Male
Orsino,Male
Perdita,Female
Laertes,Male
Laertes,Male
Belarius,Male
Perdita,Female
Perdita,Female
Hermia,Female
Arviragus,Male
Porter,Male
Oberon,Male
Perdita,Female
Ophelia,Female
H_Queen,Female
Lucius,Male
Oberon,Male
Titania,Female
Ursula,Female
Arviragus,Male
Hero,Female
Ariel,Supernatural
Fairy,Supernatural
Thisbe,Male
C_Queen,Female
Iachimo,Male
Arviragus,Male
Oberon,Male
Gonzalo,Male
TT_Antonio,Male
Sir Toby,Male
Cressida,Female
Iago,Male
Menenius,Male
Biron,Male
Coriolanus,Male
Cordelia,Female
Cordelia,Female
Third Witch,Supernatural
Gonzalo,Male
Sebastian,Male
Bottom,Male
Dromio,Male
Rosalind,Female
Katharine,Female
Eros,Male
Marcius,Male
First Senator,Male
Romeo,Male
Lucio,Male
Lysander,Male
Rosalind,Female
Pandarus,Male
LLL_Costard,Male
Romeo,Male
Cordelia,Female
Tamora,Female
Prospero,Male
Prospero,Male
Mrs Page,Female
Benedict,Male
Oliver,Male
Pauline,Female
Casca,Male
Nestor,Male
Iago,Male
Volumnia,Female
Volumnia,Female
Second Guard,Male
Volumnia,Female
Timon,Male
Prospero,Male
Dumain,Male
Coriolanus,Male
Soothsayer,Male
Soothsayer,Male
Adriana,Female
Titania,Female
Boyet,Male
Desdemona,Female
Benvolio,Male
Paris,Male
TN_Clown,Male
Tamora,Female
Third Witch,Supernatural
TN_Clown,Male
Gremio,Male
Aufidius,Male
Prospero,Male
Prospero,Male
TWT_First Lord,Male
AC_Antony,Male
Agamemnon,Male
Belarius,Male
Marcus,Male
Maria,Female
Benedict,Male
Benedict,Male
Lorenzo,Male
Desdemona,Female
H_Queen,Female
Rosalind,Female
Cassius,Male
Hamlet,Male
Rosalind,Female
Oliver,Male
AC_Caesar,Male
Isabella,Female
Euphronius,Male
Petrucio,Male
Ulyss,Male
Titus,Male
Arviragus,Male
Saturninus,Male
Juliet,Female
Menenius,Male
Amiens,Male
Tamora,Female
Ceres,Supernatural
Timon,Male
Lear,Male
Prospero,Male
Shepherd,Male
Adriana,Female
Helena,Female
Rosalind,Female
Edgar,Male
Nathaniel,Male
Celia,Female
Arid,Supernatural
Rosalind,Female
Helena,Female
Timon,Male
Gonzalo,Male
Iago,Male
Titania,Female
Titania,Female
Touchstone,Male
Lafeu,Male
Iago,Male
Menenius,Male
First Guard,Male
Falstaff,Male
Parolles,Male
Sebastian,Male
TT_Antonio,Male
Evans,Male
Malvolio,Male
MV_Antonio,Male
Biondella,Male
Petrucio,Male
Fool,Male
Nurse,Female
Beatrice,Female
MAAN_Claudio,Male
Menenius,Male
Biron,Male
AMND_Demetrius,Male
Helena,Female
Gower,Female
Titania,Female
Volumnia,Female
Touchstone,Male
Rosalind,Female
Timon,Male
Apemantus,Male
Mercutio,Male
Thersites,Male
Petrucio,Male
Katharine,Female
Petrucio,Male
Fool,Male
Pistol,Male
Titania,Female
Thersites,Female
Hamlet,Male
Mercutio,Male
Ford,Male
Haberdasher,Male
Petrucio,Male
Mercutio,Male
Petrucio,Male
First Witch,Supernatural
Slender,Male
Pompey,Male
TWT_Clown,Male
TWT_Clown,Male
TWT_Clown,Male
TWT_Clown,Male
Prospero,Male
Puck,Supernatural
Celia,Female
Caliban,Male
Caliban,Male
First Bandit,Male
AC_Caesar,Male
FaLstaff,Male
FaLstaff,Male
Anne,Female
Biondello,Male
Touchstone,Male
Malvolio,Male
Fool,Male
Iago,Male
Prospero,Male
Edgar,Male
Bottom,Male
Lord,Male
Lafeu,Male
Enobarbus,Male
Enobarbus,Male
Bottom,Male
Dorcas,Male
Menenius,Male
Thisbe,Male
Dumain,Male
Perdita,Female
