Source,Target
Oberon,Major
Titania,Major
Don John,Major
Orsino,Major
Biron,Minor
Boyet,Minor
Boyet,Minor
Touchstone,Major
Petrucio,Major
AC_Antony,Major
Othello,Major
Juliet,Major
Princess,Major
Perdita,Major
Troilus,Major
Guiderius,Major
Titus,Major
Perdita,Major
Perdita,Major
Marina,Major
Longueville,Minor
Ophelia,Major
Ophelia,Major
Perdita,Major
Mercutio,Major
Romeo,Major
Perdita,Major
Polixenes,Minor
Beatrice,Major
Margaret,Minor
Oberon,Major
Orsino,Major
Perdita,Major
Laertes,Major
Laertes,Major
Belarius,Major
Perdita,Major
Perdita,Major
Hermia,Major
Arviragus,Major
Porter,Minor
Oberon,Major
Perdita,Major
Ophelia,Major
H_Queen,Major
Lucius,Minor
Oberon,Major
Titania,Major
Ursula,Minor
Arviragus,Major
Hero,Major
Ariel,Major
Fairy,Minor
Thisbe,Minor
C_Queen,Major
Iachimo,Major
Arviragus,Major
Oberon,Major
Gonzalo,Major
TT_Antonio,Major
Sir Toby,Major
Cressida,Major
Iago,Major
Menenius,Major
Biron,Major
Coriolanus,Major
Cordelia,Major
Cordelia,Major
Third Witch,Minor
Gonzalo,Major
Sebastian,Minor
Bottom,Major
Dromio,Major
Rosalind,Major
Katharine,Minor
Eros,Minor
Marcius,Major
First Senator,Minor
Romeo,Major
Lucio,Minor
Lysander,Major
Rosalind,Major
Pandarus,Major
LLL_Costard,Minor
Romeo,Major
Cordelia,Major
Tamora,Major
Prospero,Major
Prospero,Major
Mrs Page,Major
Benedict,Major
Oliver,Major
Pauline,Major
Casca,Minor
Nestor,Minor
Iago,Major
Volumnia,Major
Volumnia,Major
Second Guard,Minor
Volumnia,Major
Timon,Major
Prospero,Major
Dumain,Major
Coriolanus,Major
Soothsayer,Minor
Soothsayer,Minor
Adriana,Major
Titania,Major
Boyet,Minor
Desdemona,Major
Benvolio,Minor
Paris,Minor
TN_Clown,Major
Tamora,Major
Third Witch,Minor
TN_Clown,Major
Gremio,Minor
Aufidius,Major
Prospero,Major
Prospero,Major
TWT_First Lord,Minor
AC_Antony,Major
Agamemnon,Major
Belarius,Major
Marcus,Major
Maria,Minor
Benedict,Major
Benedict,Major
Lorenzo,Minor
Desdemona,Major
H_Queen,Major
Rosalind,Major
Cassius,Minor
Hamlet,Major
Rosalind,Major
Oliver,Major
AC_Caesar,Major
Isabella,Major
Euphronius,Minor
Petrucio,Major
Ulyss,Major
Titus,Minor
Arviragus,Major
Saturninus,Major
Juliet,Major
Menenius,Major
Amiens,Minor
Tamora,Major
Ceres,Minor
Timon,Major
Lear,Minor
Prospero,Major
Shepherd,Minor
Adriana,Major
Helena,Minor
Rosalind,Major
Edgar,Major
Nathaniel,Minor
Celia,Major
Arid,Minor
Rosalind,Major
Helena,Major
Timon,Major
Gonzalo,Major
Iago,Major
Titania,Major
Titania,Major
Touchstone,Major
Lafeu,Minor
Iago,Major
Menenius,Major
First Guard,Minor
Falstaff,Major
Parolles,Major
Sebastian,Major
TT_Antonio,Major
Evans,Major
Malvolio,Major
MV_Antonio,Major
Biondella,Minor
Petrucio,Major
Fool,Major
Nurse,Major
Beatrice,Major
MAAN_Claudio,Major
Menenius,Major
Biron,Minor
AMND_Demetrius,Major
Helena,Major
Gower,Minor
Titania,Major
Volumnia,Major
Touchstone,Major
Rosalind,Major
Timon,Major
Apemantus,Major
Mercutio,Major
Thersites,Major
Petrucio,Major
Katharine,Minor
Petrucio,Major
Fool,Major
Pistol,Minor
Titania,Major
Thersites,Major
Hamlet,Major
Mercutio,Major
Ford,Major
Haberdasher,Minor
Petrucio,Major
Mercutio,Major
Petrucio,Major
First Witch,Minor
Slender,Major
Pompey,Major
TWT_Clown,Major
TWT_Clown,Major
TWT_Clown,Major
TWT_Clown,Major
Prospero,Major
Puck,Major
Celia,Major
Caliban,Major
Caliban,Major
First Bandit,Minor
AC_Caesar,Major
FaLstaff,Major
FaLstaff,Major
Anne,Major
Biondello,Minor
Touchstone,Major
Malvolio,Major
Fool,Minor
Iago,Major
Prospero,Major
Edgar,Major
Bottom,Major
Lord,Minor
Lafeu,Major
Enobarbus,Major
Enobarbus,Major
Bottom,Major
Dorcas,Minor
Menenius,Major
Thisbe,Major
Dumain,Minor
Perdita,Major
Perdita,Major
Perdita,Major
Lafeu,Major
AWTEW_Clown,Minor
Edgar,Major
Perdita,Major
Ophelia,Major
Perdita,Major
Ophelia,Major
Nurse,Major
Friar,Major
Edgar,Major
Ophelia,Major
Iago,Major
Oberon,Major
Anne,Major
Dumain,Major
TWT_Clown,Minor
Longaville,Minor
TWT_Costard,Major
TWT_Clown,Minor
TWT_Clown,Minor
TWT_Clown,Minor
Ford,Major
Sir Andrew,Major
Mustard,Minor
Bottom,Major
Touchstone,Major
Rosalind,Major
Rosalind,Minor
Touchstone,Minor
Macbeth,Major
Iago,Major
Cleopatra,Major
Ghost,Minor
Othello,Major
Poet,Major
Hamlet,Major
Iago,Major
Gonzalo,Major
MFM_Duke,Major
Menenius,Major
Marcius,Major
First Citizen,Minor
C_Brutus,Major
Coriolanus,Major
Pericles,Major
Macbeth,Major
Iris,Minor
Helena,Major
Pompey,Minor
Pandarus,Major
Hamlet,Major
Edgar,Major
Iris,Minor
Bottom,Major
Grumio,Minor
Officer,Minor
Iris,Minor
Iris,Minor
Iris,Minor
Bottom,Major
Biron,Minor
Sir Toby,Major
Third Servant,Minor
Clown,Minor
Enobarbus,Major
Iris,Major
Dromio,Minor
Thersites,Minor
Dromio,Minor
Benedict,Minor
Rosalind,Major
Salarino,Minor
Lorenzo,Minor
Cassius,Major
Enobarbus,Major
Coriolanus,Major
Poet,Minor
Nurse,Minor
Cleon,Minor
Soothsayer,Minor
Lear,Major
Petrucio,Major
Isabella,Minor
Pandarus,Major
Old Man,Minor
Page,Minor
Lord,Minor
Hero,Major
Viola,Minor
Petrucio,Major
Hortensio,Minor
Othello,Major
Rosencrantz,Minor
Mrs Page,Minor
Mrs Ford,Minor
Sir Toby,Minor
Imogen,Major
Ariel,Major
Ajax,Minor
Ophelia,Major
Arvigarus,Minor
Lady Macbeth,Major
Puck,Major
Edgar,Minor
AMND_Demetrius,Minor
Paulina,Major
Troilus,Minor
Second Captain,Minor
Coriolanus,Major
Macbeth,Major
Caliban,Minor
Juliet,Major
Iachimo,Minor
Othello,Major
Lady Macbeth,Major
Macbeth,Major
Antigonus,Minor
AC_Antony,Major
Coriolanus,Major
Macbeth,Major
Pandarus,Major
Iago,Major
Third Servant,Minor
Caliban,Minor
Mrs. Ford,Minor
Petruchio,Minor
TWT_Clown,Minor
Shepherd,Minor
Beatrice,Major
Thersites,Minor
MAAN_Claudio,Minor
Fabian,Minor
Clown (Feste),Minor
Grumio,Minor
AWTEW_First Lord,Minor
Biron,Minor
Polonius,Minor
Laertes,Major
