Source,Target
Rose,Male
Rose,Female
Rose,Male
Rose,Male
Rose,Male
Rose,Male
Rose,Male
Rose,Male
Rose,Male
Rose,Male
Rose,Male
Rose,Female
Lily,Female
Lily,Female
Lily,Male
Lily,Male
Lily,Male
Carnation,Female
Marigold,Female
Marigold,Female
Columbine,Male
Columbine,Female
Pansy,Female
Lavender,Female
Pink,Male
Pink,Male
Gillyvors,Female
Pink,Male
Holy Thistle,Female
Holy Thistle,Female
Violet,Male
Violet,Male
Violet,Female
Violet,Male
Violet,Male
Violet,Male
Daffodil,Female
Primrose,Female
Primrose,Female
Daffodil,Male
Daffodil,Male
Ox-Lip,Male
Ox-Lip,Female
Daisy,Female
Daisy,Female
Daisy,Male
Woodbine And Eglantine,Male
Woodbine And Eglantine,Female
Woodbine And Eglantine,Female
Woodbine And Eglantine,Male
Honeysuckle,Female
Cowslip,Supernatural
Cowslip,Supernatural
Cowslip,Male
Cowslip,Female
Cowslip,Male
Hare-Bell,Male
Love-In-Idleness,Male
Nettle,Male
Nettle,Male
Nettle,Male
Nettle,Female
Nettle,Male
Nettle,Male
Cockle,Male
Cockle,Male
Fumitory,Female
"Hemlock, Harlock",Female
"Hemlock, Harlock",Supernatural
Dock,Male
Dock,Male
Thistle,Male
Rushes,Male
Rushes,Female
Rushes,Female
Rushes,Male
Rushes,Male
Rushes,Male
Rushes,Male
Burs,Male
Burs,Male
Burs,Female
Burs,Male
Plantain,Male
Plantain,Male
Cuckoo Flowers,Female
Clover,Female
Oak,Male
Oak,Male
Oak,Female
Oak,Male
Oak,Male
Oak,Female
Oak,Male
Oak,Male
Oak,Male
Oak,Female
Oak,Female
Oak,Male
Oak,Female
Oak,Male
Cedar,Male
Cedar,Male
Cedar,Male
Cedar,Male
Cedar,Male
Elm,Female
Elm,Female
Sycamore,Male
Sycamore,Female
Sycamore,Male
Yew,Male
Yew,Male
Yew,Female
Yew,Supernatural
Cypress,Male
Cypress,Male
Cypress,Male
Pine,Male
Pine,Male
Pine,Male
Pine,Male
Pine,Male
Pine,Male
Aspen,Male
Box,Female
Willow,Male
Willow,Male
Willow,Male
Willow,Female
Willow,Female
Palm,Female
Palm,Male
Palm,Male
Olive,Female
Olive,Male
Olive,Male
Myrtle,Female
Myrtle,Male
Hazel,Male
Laurel,Male
Laurel,Male
Elder,Male
Elder,Male
Pomegranate-tree,Female
Crab,Male
Holly,Male
Mistletoe,Female
Vine,Supernatural
Vine,Male
Vine,Male
Ivy,Male
Ivy,Male
Ivy,Female
Hawthorn,Female
Hawthorn,Female
Hawthorn,Male
Osiers,Male
Osiers,Female
Briers,Supernatural
Briers,Female
Briers,Female
Briers,Male
Heath,Male
Strawberry,Male
Apricots,Female
Grapes,Female
Grapes,Male
Grapes,Male
Grapes,Male
Grapes,Male
Figs,Male
Pears,Male
Pears,Male
Apples,Male
Apples,Male
Apples,Male
Apples,Male
Apples,Male
Apples,Male
Apples,Male
Apples,Male
Quince,Female
Orange,Female
Orange,Male
Orange,Male
Lemon,Male
Cherries,Male
Cherries,Female
Cherries,Female
Mulberry,Female
Mulberry,Female
Medlars,Male
Medlars,Female
Medlars,Male
Medlars,Male
Medlars,Male
Blackberry,Male
Crab,Male
Crab,Female
Crab,Male
Crab,Male
Bilberry,Male
Dewberry,Female
Nuts,Female
Nuts,Male
Nuts,Male
Walnut,Male
Walnut,Male
Walnut,Male
Hazel-Nut,Male
Chestnut,Male
Chestnut,Supernatural
Prunes,Male
Prunes,Male
Prunes,Male
Dates,Male
Currants,Male
Raisins,Male
Acorn,Male
Acorn,Supernatural
Acorn,Female
Berries,Male
Berries,Male
Berries,Male
Berries,Male
Potato,Male
Cabbage,Male
Turnips,Female
Parsley,Male
Peascod,Male
Peascod,Male
Peascod,Male
Lettuce,Male
Mushroom,Male
Samphire,Male
Onion,Male
Onion,Male
Onion,Male
Onion,Male
Onion,Male
Garlic,Male
Garlic,Male
Garlic,Male
Leek,Male
Mint,Male
Mint,Female
Savory,Female
Marjoram,Female
Marjoram,Male
Marjoram,Male
Marjoram,Male
Rue,Female
Rue,Female
Rosemary,Female
Rosemary,Female
Rosemary,Female
Rosemary,Male
Rosemary,Male
Fennel,Female
Hyssop And Thyme,Male
Hyssop And Thyme,Supernatural
Balm,Female
Nutmeg,Male
Nutmeg,Male
Clove,Male
Ginger,Male
Ginger,Male
Mace,Male
Saffron,Male
Pepper,Male
Pepper,Male
Mustard,Male
Mustard,Male
Mustard,Male
Mustard,Female
Mustard,Female
Mustard,Male
Rhubarb and Senna,Male
Poppy And Mandragora,Male
Poppy And Mandragora,Female
Hebenon,Supernatural
Gum,Male
Gum,Male
Gum,Male
"Coloquintida, Locusts",Male
Corn,Male
Corn,Male
Corn,Male
Corn,Male
Corn,Male
Corn,Male
Corn,Male
Corn,Male
Corn,Male
Wheat,Supernatural
Wheat,Female
Wheat,Male
Wheat,Male
Wheat,Male
Wheat,Male
Barley,Supernatural
Oats,Male
Oats,Male
Oats,Male
Rye,Supernatural
Vetches,Supernatural
Peas,Supernatural
Peas,Male
Peas,Male
Flax,Male
Flax,Male
Rice,Male
Ostrich,Male
Peacock,Supernatural
Peacock,Male
Peacock,Male
Parrot,Male
Parrot,Male
Parrot,Female
Parrot,Male
Parrot,Male
Eagle,Male
Eagle,Male
Eagle,Male
Eagle,Male
Eagle,Female
Eagle,Male
Eagle,Male
Vulture,Male
Falcon,Male
Falcon,Female
Falcon,Male
Falcon,Male
Hawk,Male
Hawk,Male
Haggard,Female
Haggard,Female
Haggard,Male
Haggard,Male
Haggard,Male
Eyas,Male
Eyas-Musket,Female
Eyas-Musket,Female
Coystril,Male
Puttock,Female
Owl,Supernatural
Owl,Male
Owl,Female
Owl,Male
Owl,Female
Chough,Supernatural
Chough,Male
Crow,Male
Crow,Female
Crow,Male
Crow,Male
Crow,Male
Crow,Male
Raven,Male
Raven,Female
Raven,Male
Raven,Male
Raven,Female
Rook,Male
Kite,Male
Kite,Male
Kite,Male
Kite,Male
Daw,Male
Daw,Male
Daw,Male
Jay,Male
Jay,Female
Jay,Male
Pheasant,Male
Pheasant,Male
Partridge,Female
Quail,Male
Woodcock,Male
Woodcock,Male
Woodcock,Male
Woodcock,Male
Woodcock,Male
Woodcock,Male
Woodcock,Male
Woodcock,Male
Pigeon,Female
Pigeon,Male
Dove,Male
Dove,Male
Dove,Male
Dove,Male
Dove,Male
Nightingale,Male
Nightingale,Male
Nightingale,Male
Nightingale,Female
Nightingale,Male
Nightingale,Male
Nightingale,Female
Nightingale,Male
Lark,Female
Lark,Female
Lark,Male
Lark,Male
Lark,Female
Lark,Male
Lark,Group
Robin,Male
Robin,Male
Thrush (Throstle),Male
